DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,LOG_RETURNS
1999-01-04,3.0,3.09375,2.875,2.984375,235200,
1999-01-05,3.0,3.0,2.90625,2.921875,176400,-0.021164811192043272
1999-01-06,2.9375,3.0,2.875,2.90625,319200,-0.005361943141385399
1999-01-07,2.90625,2.9375,2.828125,2.921875,341200,0.005361943141385373
1999-01-08,2.84375,3.0625,2.84375,2.9375,1314800,0.005333345975362603
1999-01-11,3.0625,3.0625,2.921875,2.9375,1244800,0.0
1999-01-12,3.03125,3.03125,2.9375,2.96875,192400,0.010582109330537008
1999-01-13,2.90625,3.0625,2.84375,3.0625,254000,0.03109058707003118
1999-01-14,3.046875,3.25,3.0,3.125,924000,0.02020270731751947
1999-01-15,3.125,3.3125,3.109375,3.3125,391200,0.058268908123975824
1999-01-19,3.3125,3.3125,3.21875,3.25,284000,-0.019048194970694474
1999-01-20,3.234375,3.34375,3.21875,3.34375,591200,0.02843793532053341
1999-01-21,3.21875,3.3125,3.21875,3.25,457200,-0.028437935320533514
1999-01-22,3.25,3.328125,3.125,3.1875,506800,-0.019418085857101627
1999-01-25,3.21875,3.25,3.0,3.1875,296000,0.0
1999-01-26,3.09375,3.1875,3.09375,3.15625,424800,-0.009852296443011594
1999-01-27,3.1875,3.1875,3.0625,3.0625,379600,-0.030153038170687558
1999-01-28,3.15625,3.15625,3.09375,3.140625,1557200,0.025190248828558495
1999-01-29,3.15625,3.28125,3.125,3.21875,224800,0.024571260730505327
1999-02-01,3.25,3.25,3.15625,3.1875,124000,-0.009756174945364685
1999-02-02,3.15625,3.25,3.15625,3.1875,102000,0.0
1999-02-03,3.1875,3.25,3.1875,3.25,504800,0.019418085857101516
1999-02-04,3.234375,3.25,3.070312976837158,3.109375,1080800,-0.04423325497682554
1999-02-05,3.09375,3.1875,3.09375,3.125,232400,0.0050125418235441935
1999-02-08,3.1875,3.1875,2.90625,2.90625,647200,-0.07257069283483537
1999-02-09,2.875,3.0,2.6875,2.71875,941200,-0.06669137449867228
1999-02-10,2.734375,2.78125,2.71875,2.78125,299600,0.02272825107755609
1999-02-11,2.71875,2.765625,2.625,2.71875,312000,-0.022728251077556175
1999-02-12,2.6875,2.75,2.6875,2.703125,202800,-0.0057637047167501294
1999-02-16,2.75,2.75,2.625,2.6875,445600,-0.005797117684325958
1999-02-17,2.625,2.75,2.59375,2.609375,159600,-0.02950066439669799
1999-02-18,2.59375,2.71875,2.59375,2.609375,84800,0.0
1999-02-19,2.6875,2.6875,2.59375,2.65625,169200,0.017804624633506686
1999-02-22,2.625,2.75,2.5625,2.75,897600,0.03468555798789011
1999-02-23,2.75,2.9375,2.75,2.890625,117600,0.04987183004017294
1999-02-24,2.9375,2.9375,2.625,2.703125,1240400,-0.06706423058054588
1999-02-25,2.671875,2.71875,2.546875,2.609375,363600,-0.03529778208102382
1999-02-26,2.625,2.625,2.5,2.515625,665200,-0.03658944743229206
1999-03-01,2.5625,2.59375,2.390625,2.390625,601200,-0.05096644359202752
1999-03-02,2.484375,2.484375,2.4375,2.453125,362800,0.025807883955872503
1999-03-03,2.390625,2.46875,2.1875,2.28125,416000,-0.0726391836399716
1999-03-04,2.28125,2.28125,2.140625,2.1875,3038000,-0.04196419909903219
1999-03-05,2.25,2.3125,2.15625,2.1875,555200,0.0
1999-03-08,2.3125,2.34375,2.1875,2.203125,314800,0.007117467768863955
1999-03-09,2.25,2.375,2.15625,2.21875,312400,0.007067167223092353
1999-03-10,2.203125,2.359375,2.203125,2.25,238400,0.01398624197473987
1999-03-11,2.25,2.28125,2.1875,2.234375,258800,-0.006968669316093316
1999-03-12,2.234375,2.25,2.171875,2.171875,109200,-0.028370697129215576
1999-03-15,2.15625,2.25,2.15625,2.234375,162400,0.028370697129215566
1999-03-16,2.1875,2.25,2.171875,2.1875,90000,-0.021202207650602937
1999-03-17,2.1875,2.21875,2.171875,2.171875,379200,-0.007168489478612516
1999-03-18,2.25,2.25,2.171875,2.1875,304400,0.007168489478612497
1999-03-19,2.171875,2.25,2.140625,2.1875,211600,0.0
1999-03-22,2.1875,2.25,2.1875,2.203125,274000,0.007117467768863955
1999-03-23,2.25,2.25,2.171875,2.234375,187200,0.014084739881739023
1999-03-24,2.265625,2.265625,2.21875,2.21875,108400,-0.007017572658646535
1999-03-25,2.203125,2.234375,2.125,2.171875,188000,-0.021353124470568946
1999-03-26,2.15625,2.25,2.125,2.1875,323200,0.007168489478612497
1999-03-29,2.15625,2.265625,2.15625,2.25,72000,0.028170876966696224
1999-03-30,2.21875,2.78125,2.140625,2.65625,563200,0.16598513747426116
1999-03-31,2.71875,2.71875,2.1875,2.265625,453600,-0.1590646946296874
1999-04-01,2.203125,2.4375,2.203125,2.375,285600,0.04714677842570208
1999-04-05,2.375,2.4375,2.15625,2.15625,204000,-0.09662683568907164
1999-04-06,2.234375,2.25,2.03125,2.125,252800,-0.014598799421152636
