DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,LOG_RETURNS
1999-01-04,27.9375,27.9375,26.75,26.75,108400,
1999-01-05,26.5,27.25,26.25,27.25,102500,0.01851904776723753
1999-01-06,27.0,27.25,26.9375,27.25,16600,0.0
1999-01-07,27.25,27.3125,26.1875,26.375,20000,-0.03263692931302255
1999-01-08,26.375,26.5,25.5,25.8125,20100,-0.021557721074979105
1999-01-11,25.875,26.125,25.4375,25.75,40500,-0.0024242436115063915
1999-01-12,25.75,25.75,24.75,24.8125,94100,-0.03708706866233596
1999-01-13,24.5625,25.9375,24.5625,25.9375,31100,0.044342239543507966
1999-01-14,25.9375,25.9375,24.75,24.75,43500,-0.04686430897621772
1999-01-15,24.6875,25.875,24.5,25.625,47000,0.03474294844387284
1999-01-19,25.0,26.8125,24.625,26.8125,55500,0.045299759229663526
1999-01-20,26.5625,26.75,25.8125,26.25,57100,-0.021202207650602937
1999-01-21,26.0,26.0,24.75,24.75,26100,-0.058840500022933465
1999-01-22,24.6875,25.75,24.5625,25.375,38600,0.024938948347252146
1999-01-25,25.625,25.625,24.125,24.5625,107400,-0.03254354773247142
1999-01-26,24.375,25.75,24.3125,25.75,42800,0.047213737480265194
1999-01-27,25.5625,26.0,25.5625,25.8125,127900,0.0024242436115064756
1999-01-28,25.875,26.375,25.375,26.375,117700,0.021557721074979056
1999-01-29,26.5625,27.125,25.5,26.5,5587700,0.004728141195945896
1999-02-01,26.625,27.4375,25.625,26.75,893600,0.009389740349839137
1999-02-02,26.625,27.1875,25.5,26.0,418300,-0.028437935320533514
1999-02-03,26.0,26.875,25.4375,25.9375,268200,-0.0024067400305649764
1999-02-04,25.6875,25.6875,24.875,25.125,324200,-0.031826431611677204
1999-02-05,25.125,25.875,24.8125,25.1875,301200,0.0024844733276619658
1999-02-08,25.0625,25.8125,25.0625,25.3125,156100,0.004950505159856205
1999-02-09,25.5625,25.5625,25.0,25.0,163500,-0.012422519998557209
1999-02-10,25.125,25.3125,25.0625,25.1875,239100,0.0074720148387010564
1999-02-11,25.4375,25.5,25.125,25.3125,96000,0.004950505159856205
1999-02-12,25.3125,25.5,25.0,25.0,75600,-0.012422519998557209
1999-02-16,25.25,25.25,25.0,25.0625,275200,0.002496880198587146
1999-02-17,25.0625,25.5,25.0,25.0625,126800,0.0
1999-02-18,25.3125,25.5625,25.0625,25.5,294100,0.017305747097592427
1999-02-19,25.5,26.0,25.5,25.8125,137900,0.012180418556871013
1999-02-22,25.75,26.4375,25.75,26.25,111400,0.01680711831638119
1999-02-23,26.25,26.5,25.75,26.0,93400,-0.009569451016150672
1999-02-24,26.25,26.25,25.0625,25.0625,32200,-0.03672383295469408
1999-02-25,25.0,25.125,24.5,24.875,85900,-0.007509422022131459
1999-02-26,24.8125,25.5625,24.75,25.5625,46200,0.027263150758363996
1999-03-01,25.3125,25.3125,24.8125,25.1875,57100,-0.01477859409611872
1999-03-02,25.0,26.375,25.0,25.8125,264600,0.024511031014349784
1999-03-03,25.6875,26.0,25.4375,25.6875,25900,-0.004854378464798199
1999-03-04,25.875,26.0,25.25,25.5625,15900,-0.004878058453432855
