Ticker,MarketCap
A,33834981376
AAL,8445811200
AAP,3392745984
AAPL,3354078740480
ABBV,369476009984
ABT,230506528768
ACGL,34649743360
ACN,158858657792
ADBE,149925003264
ADI,121516244992
ADM,29178578944
ADP,125170442240
ADSK,61750943744
AEE,27579113472
AEP,60725972992
AES,9399059456
AFL,57708265472
AIG,45721948160
AIZ,10868911104
AJG,77585702912
AKAM,10905938944
ALB,9193396224
ALGN,10407597056
ALK,6449288192
ALL,56289935360
ALLE,14466851840
AMAT,129170079744
AMCR,19752648704
AMD,268093177856
AME,42343104512
AMGN,159597412352
AMP,47644864512
AMT,98098585600
AMZN,2386911035392
ANET,165240700928
ANSS,32906993664
AON,80644497408
AOS,10068340736
APA,7277366784
APD,65068113920
APH,132652965888
APTV,16364664832
ARE,13224047616
ATO,26661431296
AVB,27141048320
AVGO,1369509462016
AVY,13700587520
AWK,28410316800
AXON,59733213184
AXP,214610001920
AZO,69559607296
BA,170604363776
BAC,358126026752
BALL,14459276288
BAX,12465582080
BBWI,6267947520
BBY,15274047488
BDX,57096097792
BEN,12751428608
BF-B,14409426944
BIIB,20378019840
BIO,7643184640
BK,71405649920
BKNG,182784704512
BKR,42244911104
BLK,174745403392
BMY,98230329344
BR,30671398912
BRK-B,1053848174592
BRO,31925506048
BSX,157139599360
BWA,9136112640
BX,201998761984
BXP,11745024000
C,171516641280
CAG,9214860288
CAH,36523540480
CARR,56882372608
CAT,197037588480
CB,111505612800
CBOE,26349357056
CBRE,47858581504
CCI,44792446976
CCL,39673049088
CDNS,94131666944
CDW,21875392512
CE,4970386432
CEG,98161090560
CF,13837352960
CFG,21054144512
CHD,23120930816
CHRW,14298458112
CHTR,36417892352
CI,81298259968
CINF,24027170816
CL,69547417600
CLX,14829966336
CMA,8681864192
CMCSA,122913669120
CME,98963947520
CMG,57751699456
CMI,54611480576
CMS,21854449664
CNC,14439309312
CNP,25135302656
COF,137310699520
COO,14664205312
COP,118511919104
COR,58878812160
COST,441068912640
CPB,9656429568
CPRT,46035824640
CPT,11586070528
CRM,235606196224
CSCO,265755607040
CSGP,37387112448
CSX,67095441408
CTAS,87337418752
CTRA,17727741952
CTSH,34427031552
CVS,89823125504
CVX,308710703104
D,52503257088
DAL,38556577792
DD,31186042880
DE,133441880064
DECK,15435090944
DG,25275154432
DGX,20620161024
DHI,48704516096
DHR,151373381632
DIS,210429722624
DLR,57422745600
DLTR,23655692288
DOV,24511332352
DOW,17068963840
DPZ,15034609664
DRI,24192296960
DTE,29164040192
DUK,96798638080
DVA,9825529856
DVN,21443543040
DXCM,32027297792
EA,42867965952
EBAY,45311549440
ECL,80966426624
ED,36699947008
EFX,30595975168
EIX,21535309824
EL,31143731200
ELV,69805178880
EMN,7650107904
EMR,73664888832
ENPH,4665195520
EOG,64623734784
EPAM,9270192128
EQIX,75970838528
EQR,25376878592
EQT,32039088128
ERIE,19048165376
ES,24385966080
ESS,18098708480
ETN,134783442944
ETR,40100921344
ETSY,6438094336
EVRG,16709253120
EW,47784071168
EXC,45328351232
EXPD,16189920256
EXPE,25445906432
EXR,30944362496
F,45728591872
FANG,39911436288
FAST,56854089728
FCX,59311661056
FDS,14655428608
FDX,53609746432
FE,25163268096
FFIV,18141251584
FI,76081283072
FICO,32263612416
FIS,36441161728
FITB,28527327232
FMC,4815357440
FOX,25113839616
FOXA,25095450624
FRT,8369670656
FSLR,22140276736
FTNT,61002436608
FTV,16253662208
GD,85399896064
GE,282543620096
GEHC,33726234624
GEN,19362920448
GILD,147321372672
GIS,26541813760
GL,11267588096
GLW,55337586688
GM,54049468416
GNRC,11127903232
GOOG,2415032008704
GOOGL,2415519334400
GPC,19054213120
GPN,20808402944
GRMN,44302491648
GS,218164969472
GWW,47814500352
HAL,17989902336
HAS,11175166976
HBAN,24509685760
HCA,95979659264
HD,399702360064
HES,46072102912
HIG,37668614144
HII,10480772096
HLT,63478857728
HOLX,15293531136
HON,137772646400
HPE,27609110528
HPQ,24862556160
HRL,15748992000
HSIC,8323835392
HST,11226451968
HSY,36812648448
HUBB,22848073728
HUM,34878881792
HWM,69313486848
IBM,225939931136
ICE,103780286464
IDXX,51191009280
IEX,12382501888
IFF,16943134720
ILMN,15956640768
INCY,16832790528
INTC,103034585088
INTU,195025813504
INVH,18727393280
IP,24820432896
IPG,9746337792
IQV,32646799360
IR,31414685696
IRM,26962319360
ISRG,172230279168
IT,18494683136
ITW,76378824704
IVZ,9267132416
J,17516804096
JBHT,13796803584
JCI,69364809728
JKHY,11927261184
JNJ,430707507200
JNPR,13358601216
JPM,803586899968
K,27827427328
KDP,47789916160
KEY,19978592256
KEYS,27280996352
KHC,32454311936
KIM,14647835648
KLAC,115919822848
KMB,44213002240
KMI,59040665600
KMX,8675662848
KO,304269426688
KR,47490834432
KVUE,41509482496
L,20058093568
LDOS,23113988096
LEN,33574864896
LH,23110111232
LHX,51666284544
LIN,226183430144
LKQ,7878311424
LLY,632396644352
LMT,104125382656
LNT,17044753408
LOW,144111042560
LRCX,125486219264
LULU,23744878592
LUV,16375361536
LVS,36807663616
LW,7691002880
LYB,17796784128
LYV,37552705536
MA,535789830144
MAA,17086189568
MAR,71537319936
MAS,15287758848
MCD,223415123968
MCHP,36029038592
MCK,87434485760
MCO,92360925184
MDLZ,81738817536
MDT,119439065088
MET,52557000704
META,1878377234432
MGM,9883255808
MHK,7707462144
MKC,18752436224
MKTX,7066241536
MLM,36219781120
MMC,103835910144
MMM,82424496128
MNST,62872199168
MO,113526972416
MOH,9409120256
MOS,10298915840
MPC,50412597248
MPWR,39571722240
MRK,211462062080
MRNA,10462360576
MS,230064504832
MSCI,44426964992
MSFT,3759102754816
MSI,76992708608
MTB,30188042240
MTD,27126411264
MU,131173220352
NCLH,10778697728
NDAQ,54223626240
NDSN,12065780736
NEE,156876718080
NEM,75793055744
NFLX,515800694784
NI,20030173184
NKE,112628391936
NOC,84841660416
NOW,184743804928
NRG,28664541184
NSC,64050823168
NTAP,21694734336
NTRS,24381726720
NUE,32931387392
NVDA,4277585051648
NVR,22193137664
NWS,17554483200
NWSA,17591449600
NXPI,57676349440
O,54766927872
ODFL,31575642112
OGN,2435881472
OKE,46400425984
OMC,15054215168
ON,20231944192
ORCL,660243546112
ORLY,88243691520
OTIS,34977374208
OXY,43581157376
PANW,123187429376
PARA,6994082816
PAYC,12767434752
PAYX,50030690304
PCAR,51554615296
PCG,33758820352
PEG,42501656576
PEP,206361427968
PFE,144299261952
PFG,17536296960
PG,373631418368
PGR,148123287552
PH,94935220224
PHM,24966088704
PKG,17826598912
PLD,102253977600
PM,269056589824
PNC,76792365056
PNR,17219313664
PNW,11024306176
PODD,23440701440
POOL,11753304064
PPG,25291941888
PPL,27428612096
PRU,37703655424
PSA,50344480768
PSX,49937600512
PTC,25263144960
PWR,56006885376
PYPL,65042132992
QCOM,167719780352
QRVO,8250866176
RCL,89398206464
REG,13101485056
REGN,62639378432
RF,23075084288
RHI,3730768896
RJF,32393918464
RL,17337575424
RMD,42322722816
ROK,38184833024
ROL,28322361344
ROP,58167521280
ROST,47866843136
RSG,73717317632
RTX,209601986560
RVTY,10643893248
SBAC,24021755904
SBUX,101746024448
SCHW,173371670528
SHW,91537620992
SJM,12060626944
SLB,49762111488
SNA,16857124864
SNPS,111235497984
SO,104427749376
SPG,65683058688
SPGI,170061266944
SRE,53763694592
STE,24578328576
STT,31742633984
STX,33688033280
STZ,29322180608
SWK,11442224128
SWKS,11149912064
SYF,26631911424
SYK,149814640640
SYY,38667628544
T,209363419136
TAP,10151814144
TDG,79012134912
TDY,25404657664
TECH,8517151744
TFC,57238241280
TFX,5552825344
TGT,44841381888
TJX,154256785408
TMO,186846199808
TMUS,291495051264
TPR,20577220608
TRGP,35048321024
TRMB,19085113344
TROW,23237060608
TRV,61774520320
TSCO,32342970368
TSLA,1044723204096
TT,94858141696
TTWO,42182754304
TXN,182527442944
TXT,14129873920
TYL,24570540032
UAL,32321400832
UDR,14648610816
UHS,11754067968
ULTA,23222941696
UNH,271557279744
UNP,133837266944
UPS,73687736320
URI,58027397120
USB,72222777344
V,667547467776
VFC,5019428352
VLO,43649712128
VMC,37824458752
VRSK,37841809408
VRSN,25352964096
VRT,48703320064
VTR,31440304128
VTRS,12416514048
VZ,189987389440
WAB,32968286208
WAT,17662586880
WBA,10559844352
WBD,28570386432
WCN,47771783168
WDC,26241179648
WEC,35054424064
WELL,111018426368
WFC,250380894208
WHR,4862812672
WM,92662988800
WMB,69875924992
WMT,818551717888
WRB,27551842304
WST,17716520960
WTW,32748814336
WY,18773714944
WYNN,11594475520
XEL,43274637312
XOM,462690516992
XRAY,2844641792
XYL,34532577280
YUM,41447223296
ZBH,20940728320
ZBRA,15494565888
ZTS,69473361920
