Price,Close,High,Low,Open,Volume,Log_Returns
Ticker,AMD,AMD,AMD,AMD,AMD,
Date,,,,,,
1999-01-04,14.0,14.75,13.8125,14.5,4987600,
1999-01-05,13.84375,14.28125,13.5,13.96875,10463200,-0.01122346236984954
1999-01-06,13.625,14.1875,13.5625,14.0625,12031200,-0.015927526696101306
1999-01-07,13.71875,14.15625,13.4375,13.5,9706000,0.006857169726137045
1999-01-08,14.0,14.3125,13.84375,14.25,6955800,0.0202938193398139
1999-01-11,15.9375,15.96875,14.25,14.25,19264000,0.12961749330338634
1999-01-12,15.75,16.5,15.375,16.125,15023000,-0.011834457647002796
1999-01-13,13.875,16.40625,13.875,14.75,20616000,-0.1267517056391439
1999-01-14,11.25,12.625,11.0,12.625,44225200,-0.20972053098206903
1999-01-15,11.1875,11.5,10.5,11.5,16846600,-0.00557104504945536
1999-01-19,11.0625,12.0,10.84375,11.6875,8237800,-0.011236073266925842
1999-01-20,11.0,11.21875,10.375,11.0625,10568400,-0.005665737535677308
1999-01-21,10.5,10.625,9.875,10.4375,13118200,-0.04652001563489282
1999-01-22,10.78125,11.03125,10.3125,10.375,9179000,0.02643325706815543
1999-01-25,10.71875,11.25,10.6875,11.0625,7139000,-0.005813969865419845
1999-01-26,11.0,11.25,10.6875,10.875,4653600,0.025900728432157172
1999-01-27,10.625,11.125,10.59375,11.0625,3121600,-0.034685557987889984
1999-01-28,11.4375,11.5,10.90625,11.0,9317200,0.07368771579115913
1999-01-29,11.46875,11.75,11.25,11.5625,6167600,0.002728514653203914
1999-02-01,12.4375,12.71875,12.15625,12.46875,17797600,0.08109015722986745
1999-02-02,12.15625,12.65625,11.96875,12.53125,6877800,-0.022872661665991455
1999-02-03,10.46875,12.25,10.0,12.0,25487600,-0.1494488117933799
1999-02-04,9.46875,9.5,8.75,8.875,25440200,-0.10039772631569728
1999-02-05,8.40625,8.625,8.25,8.5,20294400,-0.11902142590753007
1999-02-08,8.5625,8.59375,8.40625,8.5,9208800,0.018416726786231068
1999-02-09,8.375,8.59375,8.375,8.5625,4825200,-0.022141125877213518
1999-02-10,8.3125,8.4375,8.28125,8.40625,4238400,-0.007490671729157626
1999-02-11,8.59375,8.625,8.34375,8.34375,5278400,0.033274788884872133
1999-02-12,8.78125,8.875,8.46875,8.6875,6549000,0.02158357166717439
1999-02-16,8.53125,8.9375,8.53125,8.875,3721800,-0.028882874148786052
1999-02-17,8.5,8.6875,8.4375,8.5,5718200,-0.0036697288889624017
1999-02-18,8.5625,8.59375,8.46875,8.53125,3498400,0.007326040092072881
1999-02-19,8.8125,9.0,8.46875,8.5625,3083800,0.028778964550043327
1999-02-22,9.65625,9.75,9.25,9.375,12995000,0.09143420595963185
1999-02-23,9.375,9.84375,9.21875,9.6875,5906200,-0.02955880224154439
1999-02-24,9.28125,9.4375,9.0625,9.375,3587600,-0.01005033585350145
1999-02-25,9.0625,9.25,8.90625,9.25,3812800,-0.02385121582217991
1999-02-26,8.9375,9.40625,8.78125,9.25,5830800,-0.01388911216066715
1999-03-01,9.15625,9.375,9.0,9.34375,6106000,0.024180798197214613
1999-03-02,9.25,9.625,9.1875,9.25,7772800,0.010186845306992997
1999-03-03,9.0625,9.375,9.03125,9.25,3528800,-0.020478531343540676
1999-03-04,9.25,9.3125,9.0,9.25,2866200,0.0204785313435407
1999-03-05,9.21875,9.34375,9.03125,9.3125,3489000,-0.0033840979842405684
1999-03-08,9.46875,9.59375,9.21875,9.28125,4248600,0.026757449169549332
1999-03-09,8.75,8.8125,8.15625,8.28125,14533200,-0.07894320234011956
1999-03-10,8.6875,8.78125,8.5625,8.6875,4871800,-0.007168489478612516
1999-03-11,8.5,8.8125,8.375,8.75,3566600,-0.021819047394639725
1999-03-12,8.25,8.5,8.125,8.5,4126800,-0.02985296314968116
1999-03-15,8.15625,8.28125,8.03125,8.1875,3006400,-0.011428695823622744
1999-03-16,8.5,8.625,8.1875,8.25,3511400,0.041281658973303825
1999-03-17,8.4375,8.5,8.34375,8.5,1956800,-0.007380107297622534
1999-03-18,8.28125,8.40625,8.1875,8.375,2520600,-0.01869213301215252
1999-03-19,8.03125,8.28125,8.0,8.28125,4986400,-0.030653741091002402
1999-03-22,8.03125,8.1875,8.0,8.09375,2340800,0.0
1999-03-23,7.84375,8.03125,7.78125,8.0,2894800,-0.02362314576343594
1999-03-24,7.875,7.9375,7.78125,7.84375,1986600,0.003976148379639417
