Price,Close,High,Low,Open,Volume,Log_Returns
Ticker,TDY,TDY,TDY,TDY,TDY,
Date,,,,,,
1999-11-23,8.4375,8.4375,8.4375,8.4375,60000,
1999-11-24,10.5,10.6875,8.4375,8.4375,917700,0.2186892009648295
1999-11-26,10.5,10.5,10.5,10.5,32700,0.0
1999-11-29,9.25,10.625,9.25,10.625,511000,-0.1267517056391439
1999-11-30,8.8125,9.375,8.5,9.375,2424000,-0.04845238338594674
1999-12-01,9.625,10.5,9.0,9.0,462000,0.0881927120354609
1999-12-02,9.375,10.0,9.25,10.0,799500,-0.026317308317373417
1999-12-03,9.4375,9.625,9.3125,9.5,292300,0.006644542718668511
1999-12-06,9.25,9.6875,9.1875,9.375,239100,-0.020067563050809256
1999-12-07,8.9375,9.25,8.875,9.1875,753300,-0.03436764350420777
1999-12-08,9.0,9.625,8.9375,9.0625,294100,0.0069686693160934355
1999-12-09,8.375,9.0,8.0625,9.0,801700,-0.07197349962508923
1999-12-10,8.0625,8.3125,8.0625,8.1875,574400,-0.03802739558923925
1999-12-13,7.9375,8.125,7.9375,8.0625,748300,-0.01562531790308087
1999-12-14,7.9375,8.0,7.8125,7.9375,84700,0.0
1999-12-15,8.0625,8.375,7.875,7.9375,275500,0.015625317903080815
1999-12-16,8.3125,8.5,8.1875,8.1875,150900,0.030536723860081702
1999-12-17,8.375,8.5,8.3125,8.3125,178700,0.007490671729157659
1999-12-20,8.4375,8.625,8.3125,8.375,369700,0.0074349784875179905
1999-12-21,8.375,8.6875,8.375,8.6875,86900,-0.00743497848751809
1999-12-22,8.75,9.125,8.625,9.125,521400,0.04380262265839284
1999-12-23,8.875,9.1875,8.75,8.75,148600,0.014184634991956381
1999-12-27,9.0,9.25,8.875,8.875,57400,0.01398624197473987
1999-12-28,9.1875,9.1875,8.75,8.9375,262700,0.02061928720273561
1999-12-29,9.375,9.625,9.1875,9.25,233600,0.02020270731751947
1999-12-30,9.25,10.125,8.875,9.6875,1056000,-0.013423020332140661
1999-12-31,9.4375,9.75,9.25,9.25,263000,0.020067563050809173
2000-01-03,9.375,9.625,9.3125,9.5625,315400,-0.006644542718668613
2000-01-04,9.125,9.375,8.9375,9.375,444300,-0.02702867238791926
2000-01-05,9.5,9.6875,9.0625,9.0625,109100,0.0402738991379399
2000-01-06,9.25,9.625,9.125,9.625,120700,-0.026668247082161294
2000-01-07,9.5625,9.625,9.375,9.5625,222100,0.033225647628320386
2000-01-10,9.75,9.8125,9.5,9.5625,97500,0.019418085857101516
2000-01-11,9.375,9.5625,9.125,9.5,290600,-0.03922071315328127
2000-01-12,9.375,9.5,9.3125,9.375,60300,0.0
2000-01-13,9.25,9.375,9.1875,9.25,82400,-0.013423020332140661
2000-01-14,9.5625,9.625,9.1875,9.25,36100,0.033225647628320386
2000-01-18,9.625,9.875,9.4375,9.5625,72300,0.006514681021193672
2000-01-19,9.6875,10.0,9.5625,9.75,429300,0.00647251450561752
2000-01-20,9.4375,9.75,9.25,9.6875,21800,-0.026145280104322245
2000-01-21,9.75,9.75,9.375,9.375,16100,0.03257617043461267
2000-01-24,9.625,10.0,9.625,9.9375,122900,-0.012903404835907841
2000-01-25,9.5625,9.8125,9.5,9.75,40200,-0.006514681021193642
2000-01-26,9.5625,9.875,9.5625,9.6875,65500,0.0
2000-01-27,9.6875,10.0625,9.6875,9.6875,112700,0.012987195526811112
2000-01-28,9.25,9.9375,9.25,9.8125,247000,-0.046212843155131564
2000-01-31,9.25,9.4375,9.1875,9.375,128200,0.0
2000-02-01,9.25,9.375,9.1875,9.1875,62400,0.0
2000-02-02,9.1875,9.5,9.1875,9.375,124500,-0.006779686985378804
2000-02-03,9.1875,9.1875,9.0,9.1875,291200,0.0
2000-02-04,9.0,9.4375,9.0,9.4375,63800,-0.020619287202735703
2000-02-07,8.9375,9.1875,8.875,9.1875,29300,-0.006968669316093316
2000-02-08,9.0,9.125,8.875,8.9375,107800,0.0069686693160934355
2000-02-09,8.9375,9.125,8.9375,9.0,152600,-0.006968669316093316
2000-02-10,8.75,9.0625,8.75,9.0625,87200,-0.021202207650602937
2000-02-11,8.6875,8.9375,8.6875,8.875,57000,-0.007168489478612516
2000-02-14,8.625,8.8125,8.625,8.8125,37400,-0.00722024797348702
2000-02-15,8.9375,9.0,8.625,8.625,101400,0.03559094510270253
2000-02-16,8.8125,9.0,8.8125,8.875,283000,-0.014084739881738972
2000-02-17,9.0,9.125,8.8125,8.9375,563600,0.021053409197832263
2000-02-18,9.1875,10.25,8.75,8.9375,402600,0.02061928720273561
2000-02-22,9.5,9.75,9.3125,9.375,255200,0.033447934067540125
2000-02-23,9.0,9.6875,8.75,9.625,374500,-0.05406722127027582
2000-02-24,8.875,9.375,8.875,9.125,128000,-0.01398624197473984
2000-02-25,8.8125,9.125,8.8125,9.125,111600,-0.007067167223092443
2000-02-28,8.875,9.4375,8.75,8.9375,208900,0.007067167223092353
2000-02-29,8.6875,9.0,8.6875,9.0,118000,-0.021353124470568946
2000-03-01,8.5625,8.9375,8.5625,8.6875,80000,-0.014493007302566864
2000-03-02,8.5,8.6875,8.5,8.5,88300,-0.007326040092072898
2000-03-03,8.875,8.9375,8.5625,8.625,26800,0.04317217186520878
2000-03-06,9.0,9.125,8.8125,8.8125,76600,0.01398624197473987
2000-03-07,8.625,9.125,8.625,9.0625,50400,-0.04255961441879589
2000-03-08,8.8125,8.8125,8.375,8.625,166200,0.021506205220963682
2000-03-09,9.0,9.0,8.625,8.9375,152400,0.021053409197832263
2000-03-10,9.3125,9.375,8.75,9.125,725500,0.03413300636945862
2000-03-13,10.1875,10.4375,8.875,9.4375,250400,0.08980389486130327
2000-03-14,10.8125,11.625,10.5,10.5,435100,0.0595413936910167
2000-03-15,10.625,11.0,10.625,10.9375,137200,-0.01749315744751723
2000-03-16,10.9375,11.0625,10.75,11.0,440900,0.028987536873252187
2000-03-17,12.375,12.875,11.0,11.0,926200,0.1234810567710212
2000-03-20,13.0625,13.4375,12.625,13.0,717400,0.05406722127027579
2000-03-21,13.625,13.875,12.75,13.4375,527500,0.0421608108242779
2000-03-22,13.5625,13.75,12.5625,13.625,437100,-0.0045977092486294314
2000-03-23,13.625,13.75,13.0,13.5,496700,0.004597709248629549
2000-03-24,15.6875,15.9375,13.75,13.9375,585900,0.14095787634269497
2000-03-27,18.375,18.5625,16.1875,16.5,1053800,0.15812682820689777
2000-03-28,26.0,28.5,18.5,19.5625,1939100,0.3471054929225817
2000-03-29,18.75,24.9375,18.5,24.9375,2304600,-0.32690278560506225
2000-03-30,19.0,19.0,16.0,18.25,808500,0.013245226750020723
2000-03-31,18.5,19.125,16.5,18.25,580600,-0.026668247082161294
2000-04-03,15.8125,17.625,15.5,17.5,455200,-0.15696996559654017
2000-04-04,14.875,15.75,13.375,15.75,775200,-0.06111881505604553
2000-04-05,16.0,16.875,14.375,14.875,387000,0.07290677080808773
2000-04-06,15.8125,16.625,15.125,16.25,311000,-0.01178795575204224
2000-04-07,15.9375,16.5,15.8125,16.1875,238000,0.007874056430905866
2000-04-10,15.875,16.4375,15.75,16.4375,153100,-0.00392927813988955
2000-04-11,15.625,16.0625,15.375,15.8125,89000,-0.01587334915629012
2000-04-12,15.5625,15.9375,15.25,15.8125,195500,-0.004008021397538822
2000-04-13,16.1875,16.8125,15.625,15.625,128900,0.03937516523483019
2000-04-14,13.875,16.3125,13.75,16.3125,254100,-0.15415067982725836
2000-04-17,14.625,14.9375,13.3125,13.75,248600,0.05264373348542188
2000-04-18,16.5625,17.25,15.125,15.125,254600,0.12440871062852076
2000-04-19,17.125,17.25,16.5625,16.5625,194000,0.03339828040184801
2000-04-20,17.0625,17.125,16.5625,17.0,78300,-0.0036563112031105433
2000-04-24,17.8125,18.0,16.4375,17.0625,174200,0.04301738508369086
2000-04-25,19.1875,19.8125,17.9375,17.9375,206800,0.07435856731854665
2000-04-26,19.625,20.0,18.6875,19.1875,141700,0.022545238321056222
2000-04-27,18.125,19.1875,17.375,19.1875,345400,-0.07951206292773363
2000-04-28,17.5,18.375,16.5,18.25,183600,-0.03509131981127006
2000-05-01,18.0625,18.1875,17.375,17.4375,110900,0.03163708494318266
2000-05-02,18.125,18.5625,17.9375,18.0,110600,0.0034542348680876036
2000-05-03,18.0,18.0,17.0,17.875,186600,-0.006920442844573795
2000-05-04,18.125,18.125,17.3125,17.5,88200,0.006920442844573757
2000-05-05,18.6875,18.8125,18.25,18.375,95300,0.030562650410166668
2000-05-08,18.3125,18.6875,18.125,18.6875,68300,-0.020270964373619107
2000-05-09,18.875,19.0625,18.5,18.5625,240900,0.030254408357802343
2000-05-10,17.625,18.75,17.3125,18.625,95100,-0.06851994643675606
2000-05-11,17.6875,18.0,17.5,17.875,40800,0.003539826705123987
2000-05-12,17.5,18.0,17.5,17.5625,48100,-0.01065729447398798
2000-05-15,16.375,17.5625,16.25,17.5,88600,-0.06644509940815274
2000-05-16,16.0,16.625,15.625,16.5,140100,-0.023167059281534418
2000-05-17,15.1875,16.125,15.0,16.0,180700,-0.05211600113901402
2000-05-18,14.25,15.125,14.1875,15.125,167700,-0.06371581438610774
2000-05-19,13.875,14.5,13.625,14.3125,356700,-0.026668247082161294
2000-05-22,13.125,13.875,12.75,13.875,100400,-0.055569851154810765
2000-05-23,13.0625,13.625,12.9375,13.25,70400,-0.00477327875265766
2000-05-24,11.5,12.5,10.75,12.5,357200,-0.12739849435582534
2000-05-25,12.875,13.375,11.875,11.875,150600,0.11294041118059554
2000-05-26,12.6875,13.125,12.25,13.0,77300,-0.014670189747793742
2000-05-30,16.0,16.0,13.0,13.0,74100,0.23197146543777517
2000-05-31,15.8125,15.8125,13.6875,13.6875,51200,-0.01178795575204224
2000-06-01,14.875,15.0,14.5,14.5625,89500,-0.06111881505604553
2000-06-02,14.5,15.125,14.5,14.875,83800,-0.025533302005164762
2000-06-05,14.3125,14.625,14.0625,14.625,50800,-0.013015368112070361
2000-06-06,13.4375,14.4375,13.25,14.0,89600,-0.06308397542657689
2000-06-07,14.4375,15.625,13.375,13.375,137700,0.07177968239413074
2000-06-08,13.6875,14.4375,13.5625,14.4375,75800,-0.053345980705292735
2000-06-09,13.5,13.9375,13.4375,13.8125,86200,-0.013793322132335873
2000-06-12,13.5,14.0,13.4375,13.625,153500,0.0
2000-06-13,13.75,13.8125,13.4375,13.75,138800,0.018349138668196617
2000-06-14,13.3125,13.75,13.3125,13.75,58600,-0.032335380642936465
2000-06-15,13.1875,13.5,13.0625,13.3125,33600,-0.009434032233358642
2000-06-16,13.5,13.5625,13.0625,13.0625,92400,0.023420274208098422
2000-06-19,13.625,13.875,13.5,13.8125,48100,0.009216655104924048
2000-06-20,13.5625,13.75,13.5,13.75,32800,-0.0045977092486294314
2000-06-21,13.875,14.0,13.625,14.0,140000,0.022780028331819906
2000-06-22,16.0,16.5,14.0625,14.125,267500,0.142500062607283
2000-06-23,15.9375,16.375,15.5,16.0,136500,-0.003913899321136329
2000-06-26,16.875,16.875,15.5,15.5,125800,0.05715841383994862
2000-06-27,17.625,18.375,16.1875,16.3125,190900,0.04348511193973889
2000-06-28,18.75,18.75,17.375,17.5,123600,0.06187540371808745
2000-06-29,19.125,19.125,17.4375,17.4375,309700,0.01980262729617973
2000-06-30,18.875,19.5,16.75,19.0625,447600,-0.013158084577511088
2000-07-03,18.6875,18.6875,17.0,17.125,54200,-0.009983443984183262
2000-07-05,17.5,17.875,17.1875,17.5,80400,-0.06565397022143678
2000-07-06,16.8125,17.0,16.5,16.8125,73300,-0.04007822356741047
2000-07-07,17.0625,17.1875,16.8125,16.8125,39000,0.014760415583120674
2000-07-10,17.125,17.5,16.9375,16.9375,36700,0.003656311203110479
2000-07-11,17.25,17.4375,17.0,17.125,129600,0.007272759329079878
2000-07-12,17.5,17.625,17.3125,17.3125,79000,0.01438873745209967
2000-07-13,17.5625,17.6875,17.3125,17.5,96400,0.0035650661644961446
2000-07-14,17.375,17.75,17.25,17.75,104300,-0.010733555643108664
2000-07-17,17.3125,17.4375,17.1875,17.4375,51100,-0.0036036075032985443
2000-07-18,17.9375,18.125,17.25,17.25,98200,0.03546470957228268
2000-07-19,17.625,18.0,17.5625,17.9375,57800,-0.017575144821507488
2000-07-20,18.9375,19.25,17.625,17.625,131700,0.0718257345712556
2000-07-21,18.9375,19.0625,18.4375,18.5625,81800,0.0
2000-07-24,18.9375,19.125,18.75,19.0,67400,0.0
2000-07-25,18.9375,18.9375,18.625,18.875,32700,0.0
2000-07-26,21.5625,21.5625,18.6875,18.875,191600,0.12981161152199053
2000-07-27,19.875,20.875,19.8125,20.875,117000,-0.08149303425118291
2000-07-28,20.0,20.25,19.875,20.0,97700,0.006269613013595395
2000-07-31,19.75,20.0,19.5625,20.0,111000,-0.012578782206860073
2000-08-01,18.8125,19.9375,18.25,19.9375,77000,-0.04863194883803642
2000-08-02,19.25,19.25,18.375,18.75,41800,0.02298951822469878
2000-08-03,18.25,19.25,17.9375,19.25,147800,-0.053345980705292735
2000-08-04,15.25,16.125,14.6875,15.5,531300,-0.17958557697507987
2000-08-07,16.75,17.0,14.875,15.25,255200,0.09381875521765491
2000-08-08,16.625,16.75,16.25,16.6875,62700,-0.007490671729157626
2000-08-09,19.25,19.75,16.75,16.75,708100,0.14660347419187544
