Date,Algorithm_Value,SPY_Value,Historical_SPY_Value,Historical_Algo_Value,Sim_ID
1999-01-04,10000.54,0.00,10000.00,10000.54,6
1999-01-05,10001.09,0.00,10114.30,10001.09,6
1999-01-06,10001.63,0.00,10358.14,10001.63,6
1999-01-07,10002.17,0.00,10307.34,10002.17,6
1999-01-08,10002.71,0.00,10383.54,10002.71,6
1999-01-11,10003.26,0.00,10284.48,10003.26,6
1999-01-12,10003.80,0.00,10099.06,10003.80,6
1999-01-13,10004.34,0.00,10027.94,10004.34,6
1999-01-14,10004.88,0.00,9852.68,10004.88,6
1999-01-15,10005.43,0.00,10109.22,10005.43,6
1999-01-19,10005.97,0.00,10175.26,10005.97,6
1999-01-20,10006.51,0.00,10256.54,10006.51,6
1999-01-21,10007.06,0.00,9984.76,10007.06,6
1999-01-22,10007.60,0.00,9961.90,10007.60,6
1999-01-25,10008.14,0.00,10063.50,10008.14,6
1999-01-26,10008.68,0.00,10246.38,10008.68,6
1999-01-27,10009.23,0.00,10127.00,10009.23,6
1999-01-28,10009.77,0.00,10297.18,10009.77,6
1999-01-29,10010.31,0.00,10375.92,10010.31,6
1999-02-01,10010.86,0.00,10314.96,10010.86,6
1999-02-02,10011.40,0.00,10251.46,10011.40,6
1999-02-03,10011.94,0.00,10355.60,10011.94,6
1999-02-04,10012.49,0.00,10200.66,10012.49,6
1999-02-05,10013.03,0.00,10083.83,10013.03,6
1999-02-08,10013.57,0.00,10104.14,10013.57,6
1999-02-09,10014.12,0.00,9878.08,10014.12,6
1999-02-10,10014.66,0.00,9941.58,10014.66,6
1999-02-11,10015.20,0.00,10170.18,10015.20,6
1999-02-12,10015.75,0.00,10048.26,10015.75,6
1999-02-16,10016.29,0.00,9987.30,10016.29,6
1999-02-17,10016.83,0.00,9977.14,10016.83,6
1999-02-18,10017.38,0.00,10055.88,10017.38,6
1999-02-19,10017.92,0.00,10099.06,10017.92,6
1999-02-22,10018.46,0.00,10368.30,10018.46,6
1999-02-23,10019.01,0.00,10363.22,10019.01,6
1999-02-24,10019.55,0.00,10180.34,10019.55,6
1999-02-25,10020.09,0.00,10083.83,10020.09,6
1999-02-26,10020.64,0.00,10043.18,10020.64,6
1999-03-01,10021.18,0.00,10071.12,10021.18,6
1999-03-02,10021.73,0.00,9982.22,10021.73,6
1999-03-03,10022.27,0.00,10035.56,10022.27,6
1999-03-04,10022.81,0.00,10162.56,10022.81,6
1999-03-05,10023.36,0.00,10367.03,10023.36,6
1999-03-08,10023.90,0.00,10434.34,10023.90,6
1999-03-09,10024.44,0.00,10408.94,10024.44,6
1999-03-10,10024.99,0.00,10500.38,10024.99,6
1999-03-11,10025.53,0.00,10617.22,10025.53,6
1999-03-12,10026.08,0.00,10515.62,10026.08,6
1999-03-15,10026.62,0.00,10665.48,10026.62,6
1999-03-16,10027.16,0.00,10624.84,10027.16,6
1999-03-17,10027.71,0.00,10579.12,10027.71,6
1999-03-18,10056.07,0.00,10749.30,10064.12,6
1999-03-19,10089.82,0.00,10566.59,10196.83,6
1999-03-22,10108.41,0.00,10586.96,10169.98,6
1999-03-23,10094.55,0.00,10281.42,10164.20,6
1999-03-24,10128.52,0.00,10339.98,10069.62,6
1999-03-25,10154.19,0.00,10551.31,10149.13,6
1999-03-26,10136.73,0.00,10474.93,10225.59,6
1999-03-29,10139.45,0.00,10686.26,10266.36,6
1999-03-30,10163.16,0.00,10630.25,10310.82,6
1999-03-31,10140.62,0.00,10459.65,10406.24,6
1999-04-01,10176.83,0.00,10538.59,10378.19,6
1999-04-05,10144.77,0.00,10788.11,10401.42,6
1999-04-06,10138.33,0.00,10762.64,10456.93,6
1999-04-07,10165.43,0.00,10849.21,10418.14,6
1999-04-08,10162.65,0.00,10986.71,10381.77,6
1999-04-09,10134.02,0.00,10989.26,10408.29,6
1999-04-12,10144.23,0.00,11106.38,10418.06,6
1999-04-13,10145.48,0.00,11035.08,10316.48,6
1999-04-14,10134.30,0.00,10849.21,10315.24,6
1999-04-15,10133.08,0.00,10808.48,10451.00,6
1999-04-16,10111.69,0.00,10716.81,10666.06,6
1999-04-19,10123.05,0.00,10551.31,10803.85,6
1999-04-20,10118.92,0.00,10683.71,10839.42,6
1999-04-21,10109.85,0.00,10989.26,10874.95,6
1999-04-22,10118.78,0.00,11093.65,10969.57,6
1999-04-23,10101.24,0.00,11065.64,10917.22,6
1999-04-26,10097.70,0.00,11129.29,10978.41,6
1999-04-27,10119.32,0.00,11182.76,11041.54,6
1999-04-28,10130.06,0.00,11029.99,10983.34,6
1999-04-29,10131.73,0.00,10945.97,10996.04,6
1999-04-30,10150.53,0.00,10856.86,11037.91,6
1999-05-03,10146.78,0.00,11055.46,10996.29,6
1999-05-04,10137.84,0.00,10897.59,11115.52,6
1999-05-05,10146.35,0.00,10984.16,11076.83,6
1999-05-06,10131.96,0.00,10916.69,11062.59,6
1999-05-07,10124.50,0.00,10999.43,11061.69,6
1999-05-10,10124.26,0.00,10944.69,11093.75,6
1999-05-11,10092.71,0.00,11055.46,11116.68,6
1999-05-12,10112.25,0.00,11142.02,11238.92,6
1999-05-13,10119.09,0.00,11190.40,11276.10,6
1999-05-14,10130.83,0.00,10900.14,11208.05,6
1999-05-17,10099.20,0.00,10933.24,11147.94,6
1999-05-18,10095.56,0.00,10912.87,11150.75,6
1999-05-19,10100.64,0.00,10991.80,11172.25,6
1999-05-20,10107.07,0.00,10925.60,11248.98,6
1999-05-21,10106.17,0.00,10864.49,11256.75,6
1999-05-24,10113.86,0.00,10683.71,11244.93,6
1999-05-25,10120.53,0.00,10510.57,11148.64,6
1999-05-26,10119.82,0.00,10627.70,11149.69,6
1999-05-27,10141.37,0.00,10474.93,11144.46,6
1999-05-28,10143.97,0.00,10608.60,10632.72,6
1999-06-01,10157.61,0.00,10571.68,10717.48,6
1999-06-02,10175.28,0.00,10581.86,10769.80,6
1999-06-03,10177.63,0.00,10640.43,10747.10,6
1999-06-04,10180.80,0.00,10854.31,10756.12,6
1999-06-07,10191.43,0.00,10882.31,10869.17,6
1999-06-08,10170.73,0.00,10775.38,10932.36,6
1999-06-09,10167.20,0.00,10765.19,10938.65,6
1999-06-10,10172.18,0.00,10665.89,10921.99,6
1999-06-11,10181.08,0.00,10576.77,10892.69,6
1999-06-14,10185.43,0.00,10586.96,10873.66,6
1999-06-15,10189.65,0.00,10658.25,10873.57,6
1999-06-16,10208.06,0.00,10861.94,10944.25,6
1999-06-17,10189.86,0.00,10963.79,10980.69,6
1999-06-18,10167.46,0.00,10976.46,11044.83,6
1999-06-21,10191.96,0.00,11001.99,11068.05,6
1999-06-22,10193.16,0.00,10925.38,11025.14,6
1999-06-23,10193.71,0.00,10871.74,11012.71,6
1999-06-24,10178.99,0.00,10790.03,11024.76,6
1999-06-25,10180.91,0.00,10763.21,10974.32,6
1999-06-28,10192.58,0.00,10894.73,11005.10,6
1999-06-29,10194.90,0.00,10996.88,11086.68,6
1999-06-30,10182.11,0.00,11196.09,11236.53,6
1999-07-01,10187.55,0.00,11280.37,11344.81,6
1999-07-02,10213.08,0.00,11392.73,11377.89,6
1999-07-06,10212.48,0.00,11390.18,11426.88,6
1999-07-07,10216.43,0.00,11405.50,11386.12,6
1999-07-08,10234.31,0.00,11414.44,11368.07,6
1999-07-09,10237.20,0.00,11482.12,11409.43,6
1999-07-12,10229.69,0.00,11431.05,11491.53,6
1999-07-13,10208.69,0.00,11390.18,11414.24,6
1999-07-14,10196.06,0.00,11454.02,11454.02,6
1999-07-15,10217.45,0.00,11526.81,11532.84,6
1999-07-16,10232.48,0.00,11589.38,11602.60,6
1999-07-19,10228.65,0.00,11512.77,11574.63,6
1999-07-20,10224.69,0.00,11276.53,11440.03,6
1999-07-21,10242.16,0.00,11263.77,11336.30,6
1999-07-22,10246.90,0.00,11115.64,11298.54,6
1999-07-23,10216.69,0.00,11093.93,11291.38,6
1999-07-26,10211.69,0.00,11012.21,11261.82,6
