Date,Algorithm_Value,SPY_Value,Historical_SPY_Value,Historical_Algo_Value,Sim_ID
1999-01-04,10000.54,0.00,10000.00,10000.54,9
1999-01-05,10001.09,0.00,10114.30,10001.09,9
1999-01-06,10001.63,0.00,10358.14,10001.63,9
1999-01-07,10002.17,0.00,10307.34,10002.17,9
1999-01-08,10002.71,0.00,10383.54,10002.71,9
1999-01-11,10003.26,0.00,10284.48,10003.26,9
1999-01-12,10003.80,0.00,10099.06,10003.80,9
1999-01-13,10004.34,0.00,10027.94,10004.34,9
1999-01-14,10004.88,0.00,9852.68,10004.88,9
1999-01-15,10005.43,0.00,10109.22,10005.43,9
1999-01-19,10005.97,0.00,10175.26,10005.97,9
1999-01-20,10006.51,0.00,10256.54,10006.51,9
1999-01-21,10007.06,0.00,9984.76,10007.06,9
1999-01-22,10007.60,0.00,9961.90,10007.60,9
1999-01-25,10008.14,0.00,10063.50,10008.14,9
1999-01-26,10008.68,0.00,10246.38,10008.68,9
1999-01-27,10009.23,0.00,10127.00,10009.23,9
1999-01-28,10009.77,0.00,10297.18,10009.77,9
1999-01-29,10010.31,0.00,10375.92,10010.31,9
1999-02-01,10010.86,0.00,10314.96,10010.86,9
1999-02-02,10011.40,0.00,10251.46,10011.40,9
1999-02-03,10011.94,0.00,10355.60,10011.94,9
1999-02-04,10012.49,0.00,10200.66,10012.49,9
1999-02-05,10013.03,0.00,10083.83,10013.03,9
1999-02-08,10013.57,0.00,10104.14,10013.57,9
1999-02-09,10014.12,0.00,9878.08,10014.12,9
1999-02-10,10014.66,0.00,9941.58,10014.66,9
1999-02-11,10015.20,0.00,10170.18,10015.20,9
1999-02-12,10015.75,0.00,10048.26,10015.75,9
1999-02-16,10016.29,0.00,9987.30,10016.29,9
1999-02-17,10016.83,0.00,9977.14,10016.83,9
1999-02-18,10017.38,0.00,10055.88,10017.38,9
1999-02-19,10017.92,0.00,10099.06,10017.92,9
1999-02-22,10018.46,0.00,10368.30,10018.46,9
1999-02-23,10019.01,0.00,10363.22,10019.01,9
1999-02-24,10019.55,0.00,10180.34,10019.55,9
1999-02-25,10020.09,0.00,10083.83,10020.09,9
1999-02-26,10020.64,0.00,10043.18,10020.64,9
1999-03-01,10021.18,0.00,10071.12,10021.18,9
1999-03-02,10021.73,0.00,9982.22,10021.73,9
1999-03-03,10022.27,0.00,10035.56,10022.27,9
1999-03-04,10022.81,0.00,10162.56,10022.81,9
1999-03-05,10023.36,0.00,10367.03,10023.36,9
1999-03-08,10023.90,0.00,10434.34,10023.90,9
1999-03-09,10024.44,0.00,10408.94,10024.44,9
1999-03-10,10024.99,0.00,10500.38,10024.99,9
1999-03-11,10025.53,0.00,10617.22,10025.53,9
1999-03-12,10026.08,0.00,10515.62,10026.08,9
1999-03-15,10026.62,0.00,10665.48,10026.62,9
1999-03-16,10027.16,0.00,10624.84,10027.16,9
1999-03-17,10027.71,0.00,10579.12,10027.71,9
1999-03-18,10033.13,0.00,10749.30,10063.08,9
1999-03-19,10016.91,0.00,10566.59,10192.90,9
1999-03-22,10031.32,0.00,10586.96,10164.55,9
1999-03-23,10063.50,0.00,10281.42,10156.82,9
1999-03-24,10083.99,0.00,10339.98,10066.37,9
1999-03-25,10083.49,0.00,10551.31,10159.59,9
1999-03-26,10106.85,0.00,10474.93,10238.83,9
1999-03-29,10122.10,0.00,10686.26,10290.20,9
1999-03-30,10149.65,0.00,10630.25,10339.73,9
1999-03-31,10154.24,0.00,10459.65,10442.54,9
1999-04-01,10166.22,0.00,10538.59,10440.12,9
