Date,Algorithm_Value,SPY_Value,Historical_SPY_Value,Historical_Algo_Value,Sim_ID
1999-01-04,10000.54,10000.00,10000.00,10000.54,9
1999-01-05,10001.09,9995.10,10114.30,10001.09,9
1999-01-06,10001.63,9998.30,10358.14,10001.63,9
1999-01-07,10002.17,9986.43,10307.34,10002.17,9
1999-01-08,10002.71,10013.29,10383.54,10002.71,9
1999-01-11,10003.26,10024.69,10284.48,10003.26,9
1999-01-12,10003.80,10047.54,10099.06,10003.80,9
1999-01-13,10004.34,10091.93,10027.94,10004.34,9
1999-01-14,10004.88,10101.55,9852.68,10004.88,9
1999-01-15,10005.43,10113.57,10109.22,10005.43,9
1999-01-19,10005.97,10134.28,10175.26,10005.97,9
1999-01-20,10006.51,10089.26,10256.54,10006.51,9
1999-01-21,10007.06,10084.12,9984.76,10007.06,9
1999-01-22,10007.60,10097.87,9961.90,10007.60,9
1999-01-25,10008.14,10118.68,10063.50,10008.14,9
1999-01-26,10008.68,10112.10,10246.38,10008.68,9
1999-01-27,10009.23,10120.62,10127.00,10009.23,9
1999-01-28,10009.77,10083.75,10297.18,10009.77,9
1999-01-29,10010.31,10162.27,10375.92,10010.31,9
1999-02-01,10010.86,10210.16,10314.96,10010.86,9
1999-02-02,10011.40,10212.74,10251.46,10011.40,9
1999-02-03,10011.94,10209.32,10355.60,10011.94,9
1999-02-04,10012.49,10204.03,10200.66,10012.49,9
1999-02-05,10013.03,10186.11,10083.83,10013.03,9
1999-02-08,10013.57,10190.52,10104.14,10013.57,9
1999-02-09,10014.12,10181.42,9878.08,10014.12,9
1999-02-10,10014.66,10187.67,9941.58,10014.66,9
1999-02-11,10015.20,10191.67,10170.18,10015.20,9
1999-02-12,10015.75,10229.15,10048.26,10015.75,9
1999-02-16,10016.29,10232.19,9987.30,10016.29,9
1999-02-17,10016.83,10227.37,9977.14,10016.83,9
1999-02-18,10017.38,10200.88,10055.88,10017.38,9
1999-02-19,10017.92,10205.00,10099.06,10017.92,9
1999-02-22,10018.46,10202.85,10368.30,10018.46,9
1999-02-23,10019.01,10176.38,10363.22,10019.01,9
1999-02-24,10019.55,10122.63,10180.34,10019.55,9
1999-02-25,10020.09,10108.42,10083.83,10020.09,9
1999-02-26,10020.64,10110.01,10043.18,10020.64,9
1999-03-01,10021.18,10078.92,10071.12,10021.18,9
1999-03-02,10021.73,10087.14,9982.22,10021.73,9
1999-03-03,10022.27,10069.53,10035.56,10022.27,9
1999-03-04,10022.81,10048.30,10162.56,10022.81,9
1999-03-05,10023.36,10020.67,10367.03,10023.36,9
1999-03-08,10023.90,10100.45,10434.34,10023.90,9
1999-03-09,10024.44,10092.53,10408.94,10024.44,9
1999-03-10,10024.99,10109.07,10500.38,10024.99,9
1999-03-11,10025.53,10098.24,10617.22,10025.53,9
1999-03-12,10026.08,10038.10,10515.62,10026.08,9
1999-03-15,10026.62,10057.92,10665.48,10026.62,9
1999-03-16,10027.16,10062.25,10624.84,10027.16,9
1999-03-17,10076.12,10110.78,10579.12,10015.59,9
1999-03-18,10105.86,10118.27,10749.30,9985.63,9
1999-03-19,10133.81,10085.60,10566.59,10037.18,9
1999-03-22,10138.75,10063.71,10586.96,9924.33,9
1999-03-23,10106.00,10040.05,10281.42,9851.81,9
1999-03-24,10105.30,10092.35,10339.98,9696.96,9
1999-03-25,10120.81,10105.94,10551.31,9773.86,9
1999-03-26,10144.22,10204.18,10474.93,9860.25,9
1999-03-29,10135.24,10191.48,10686.26,9858.32,9
1999-03-30,10179.03,10188.01,10630.25,9900.67,9
1999-03-31,10159.47,10174.94,10459.65,9861.67,9
1999-04-01,10159.85,10197.11,10538.59,9830.96,9
1999-04-05,10156.26,10211.29,10788.11,9865.76,9
1999-04-06,10162.96,10221.05,10762.64,9915.28,9
1999-04-07,10147.84,10212.30,10849.21,9892.62,9
1999-04-08,10182.17,10222.45,10986.71,9849.18,9
1999-04-09,10174.72,10255.81,10989.26,9880.88,9
1999-04-12,10178.92,10252.95,11106.38,9861.20,9
1999-04-13,10181.85,10267.42,11035.08,10020.89,9
1999-04-14,10170.82,10229.87,10849.21,9984.47,9
1999-04-15,10180.26,10222.26,10808.48,10115.85,9
1999-04-16,10181.64,10244.12,10716.81,10242.41,9
